"","X","Y","OBJECTID","ID","ORDITAL_IMAGE","Package_Name","Asset_Name","Asset_Status","No_Lights_on_Pole","External_ID","External_Class","Pole_ID_Number","Pole_Sequence_Number","Light_Housing","Light_Type","Light_Power_Rating","Light_Configuration","Text_on_Light","Year_on_Light","Geolocation_from_Google_Maps","Geolocation_Latitude","Geolocation_Longitude","Latest_Audit","House_Property_Number","House_Property_Number_observed","Street","Type","Suburb","Other_Asset","Latitude","Longitude","bus_stops_nearby","park_nearby","tourist_nearby"
"2833",523980.86293658,5250794.72355615,2964,"9e577cfd-865b-4f47-b9e4-c017b6906893","https://image.prod.ordital.com/?assetId=9e577cfd-865b-4f47-b9e4-c017b6906893","SOUTH HOBART","COH-17-45-1-14","APPROVED",1,NA,NA,NA,NA,"LED_CIRCULAR_ORNAMENTAL","LED (LED)",NA,"LC (LED CIRCULAR ORNAMENTAL)",NA,NA,1,-42.89507751,147.2937142,"2020/05/19 00:01:41+00",NA,NA,"MCROBIES","RD","SOUTH HOBART",NA,-42.89507751,147.2937142,1,1,1
"2834",525017.781425009,5250468.54309922,2990,"80af14c4-bd87-4cde-8bca-462ab093c0cc","https://image.prod.ordital.com/?assetId=80af14c4-bd87-4cde-8bca-462ab093c0cc","SOUTH HOBART","COH-17-49-01","APPROVED",0,NA,NA,"195160","1",NA,NA,NA,NA,NA,NA,1,-42.89798152,147.3064286,"2020/05/06 02:54:26+00","3",NA,"NEVADA","ST","SOUTH HOBART",NA,-42.89798152,147.3064286,1,0,0
"2835",525030.487786303,5250469.2341878,2991,"2bfdb720-661b-4783-9256-5e147b92f7dd","https://image.prod.ordital.com/?assetId=2bfdb720-661b-4783-9256-5e147b92f7dd","SOUTH HOBART","COH-17-49-02","APPROVED",0,NA,NA,"195159","1",NA,NA,NA,NA,NA,NA,1,-42.89797488,147.3065842,"2020/05/06 02:55:27+00",NA,NA,"NEVADA","ST","SOUTH HOBART",NA,-42.89797488,147.3065842,1,0,0
"2836",523190.783468704,5250381.89127236,3025,"c10b0f90-2e3d-47dd-938f-ce29e4416c2e","https://image.prod.ordital.com/?assetId=c10b0f90-2e3d-47dd-938f-ce29e4416c2e","SOUTH HOBART","COH-17-57-09","APPROVED",1,59096,"LED_18","183851","19","LED_18_14","LED (LED)","18 (21.9 Watts - LED)",NA,NA,2015,1,-42.89881954,147.2840546,"2020/05/25 00:21:46+00","81",NA,"STRICKLAND","AVE","SOUTH HOBART","OTHER ASSET",-42.89881954,147.2840546,1,0,0
"2837",523159.07081133,5250361.76088985,3026,"0df67de0-5042-4fa9-8fbc-6dfb7821dd7f","https://image.prod.ordital.com/?assetId=0df67de0-5042-4fa9-8fbc-6dfb7821dd7f","SOUTH HOBART","COH-17-57-10","APPROVED",0,NA,NA,"183850","183850",NA,NA,NA,NA,NA,NA,1,-42.89900178,147.283667,"2020/05/25 00:23:53+00",NA,NA,"STRICKLAND","AVE","SOUTH HOBART",NA,-42.89900178,147.283667,1,0,0
"2838",522826.266706925,5250055.82536714,3046,"33088ff8-84b2-45c6-b262-03df237028ac","https://image.prod.ordital.com/?assetId=33088ff8-84b2-45c6-b262-03df237028ac","SOUTH HOBART","COH-17-57-30","APPROVED",0,NA,NA,"183830","31",NA,NA,NA,NA,NA,NA,0,-42.9017668,147.2796031,"2020/05/25 01:37:13+00","141",NA,"STRICKLAND","AVE","SOUTH HOBART","OTHER ASSET",-42.9017668,147.2796031,1,0,0
"2839",522806.097347071,5250047.08625782,3047,"a566902a-ef8c-49d9-b383-f9c416221484","https://image.prod.ordital.com/?assetId=a566902a-ef8c-49d9-b383-f9c416221484","SOUTH HOBART","COH-17-57-31","APPROVED",0,NA,NA,"183831","183831",NA,NA,NA,NA,NA,NA,1,-42.9018461,147.2793564,"2020/05/25 01:38:41+00","142",NA,"STRICKLAND","AVE","SOUTH HOBART",NA,-42.9018461,147.2793564,1,0,0
"2840",524488.271020544,5250975.29697779,3102,"09cec5ff-23d2-4cd7-b686-58d1755038f8","https://image.prod.ordital.com/?assetId=09cec5ff-23d2-4cd7-b686-58d1755038f8","SOUTH HOBART","COH-17-58-02","APPROVED",0,NA,NA,"169745","1A",NA,NA,NA,NA,NA,NA,1,-42.89343531,147.2999209,"2020/05/11 01:52:10+00",NA,NA,"SYME","ST","SOUTH HOBART","OTHER ASSET",-42.89343531,147.2999209,1,2,1
"2841",524468.653340799,5250978.39400717,3104,"b1d73cfd-6927-4af6-b19a-a14eaab1a291","https://image.prod.ordital.com/?assetId=b1d73cfd-6927-4af6-b19a-a14eaab1a291","SOUTH HOBART","COH-17-58-04","APPROVED",0,NA,NA,"778694","112",NA,NA,NA,NA,NA,NA,1,-42.89340805,147.2996805,"2020/05/11 01:57:30+00",NA,NA,"SYME","ST","SOUTH HOBART",NA,-42.89340805,147.2996805,1,2,1
"2842",524379.888053857,5250965.94450496,3107,"bac9ce0f-ac9b-49e2-a6d2-cf15bc604459","https://image.prod.ordital.com/?assetId=bac9ce0f-ac9b-49e2-a6d2-cf15bc604459","SOUTH HOBART","COH-17-58-07","APPROVED",0,NA,NA,"23223","3",NA,NA,NA,NA,NA,NA,1,-42.893523,147.2985939,"2020/05/11 02:03:29+00","16",NA,"SYME","ST","SOUTH HOBART",NA,-42.893523,147.2985939,1,2,1
"2843",524302.97589463,5250925.0015277,3110,"7269dcb4-2fd8-4a84-9f46-536c391b8460","https://image.prod.ordital.com/?assetId=7269dcb4-2fd8-4a84-9f46-536c391b8460","SOUTH HOBART","COH-17-58-10","APPROVED",0,NA,NA,"229340","1",NA,NA,NA,NA,NA,NA,1,-42.89389415,147.2976537,"2020/05/11 02:10:09+00","7",NA,"SYME","ST","SOUTH HOBART",NA,-42.89389415,147.2976537,1,1,1
"2844",525075.150424389,5250503.68277678,3126,"10237770-ed91-4d99-84bf-6b107eceb02e","https://image.prod.ordital.com/?assetId=10237770-ed91-4d99-84bf-6b107eceb02e","SOUTH HOBART","COH-17-62-1-14","APPROVED",0,NA,NA,"T615","TELSTRA 72021 9Y / 03730 KAPL",NA,NA,NA,NA,NA,NA,1,-42.8976632,147.3071297,"2020/05/06 02:20:58+00","37",NA,"WASHINGTON","ST","SOUTH HOBART",NA,-42.8976632,147.3071297,1,0,0
"2845",525083.6222404,5250500.65134493,3127,"89cde710-46f7-453d-8dc0-63c4afc9c3b4","https://image.prod.ordital.com/?assetId=89cde710-46f7-453d-8dc0-63c4afc9c3b4","SOUTH HOBART","COH-17-62-1-15","APPROVED",0,NA,NA,"186643","1",NA,NA,NA,NA,NA,NA,1,-42.89769022,147.3072336,"2020/05/06 02:22:29+00","36",NA,"WASHINGTON","ST","SOUTH HOBART",NA,-42.89769022,147.3072336,1,0,0
"2846",525075.426164754,5250476.3251187,3128,"1173a60f-4b9e-474f-b781-535c7b1658fa","https://image.prod.ordital.com/?assetId=1173a60f-4b9e-474f-b781-535c7b1658fa","SOUTH HOBART","COH-17-62-1-16","APPROVED",1,61370,"LED_18","186644","8","LED_18_14","LED (LED)","18 (21.9 Watts - LED)",NA,"L18",2015,1,-42.89790955,147.3071343,"2020/05/06 02:25:07+00","38",NA,"WASHINGTON","ST","SOUTH HOBART",NA,-42.89790955,147.3071343,1,0,0
"2847",525059.074357365,5250465.55648379,3129,"9c0bbe90-9910-4acf-86b9-c29ca66904fa","https://image.prod.ordital.com/?assetId=9c0bbe90-9910-4acf-86b9-c29ca66904fa","SOUTH HOBART","COH-17-62-1-17","APPROVED",0,NA,NA,"203","063L59",NA,NA,NA,NA,NA,NA,1,-42.89800706,147.3069345,"2020/05/06 02:26:50+00",NA,NA,"WASHINGTON","ST","SOUTH HOBART",NA,-42.89800706,147.3069345,1,0,0
"2848",525063.870043688,5250450.75629653,3130,"4d8774df-4744-4307-8c0c-c3c4fbdfb21e","https://image.prod.ordital.com/?assetId=4d8774df-4744-4307-8c0c-c3c4fbdfb21e","SOUTH HOBART","COH-17-62-1-18","APPROVED",0,NA,NA,"16494","9",NA,NA,NA,NA,NA,NA,1,-42.89814018,147.3069939,"2020/05/06 02:28:23+00","10",NA,"WASHINGTON","ST","SOUTH HOBART",NA,-42.89814018,147.3069939,1,0,0
"2849",525043.593240619,5250431.57451322,3131,"8abae3f0-f58b-479b-b14e-cd2edeb4dc1a","https://image.prod.ordital.com/?assetId=8abae3f0-f58b-479b-b14e-cd2edeb4dc1a","SOUTH HOBART","COH-17-62-1-19","APPROVED",0,NA,NA,"352345","1",NA,NA,NA,NA,NA,NA,1,-42.89831358,147.3067464,"2020/05/06 02:29:50+00","43",NA,"WASHINGTON","ST","SOUTH HOBART",NA,-42.89831358,147.3067464,1,0,0
"2850",525021.69188383,5250526.76126981,3174,"71ca7c4f-3d01-4148-bfd6-b1d791c33284","https://image.prod.ordital.com/?assetId=71ca7c4f-3d01-4148-bfd6-b1d791c33284","SOUTH HOBART","COH-17-64-29","APPROVED",1,28386,"CFL_42","195311","11","HPS_CFL_MV_SHORT","CFL (Compact Fluorescent)","42 (46.4 Watts - CFL)",NA,"42CF",2013,1,-42.89745713,147.3064739,"2020/05/17 22:59:07+00",NA,NA,"WELLESLEY","ST","SOUTH HOBART",NA,-42.89745713,147.3064739,1,0,0
"2851",525374.775831163,5250496.39092981,3182,"0f590a93-2719-4b4a-bdb3-f9f019c7a57f","https://image.prod.ordital.com/?assetId=0f590a93-2719-4b4a-bdb3-f9f019c7a57f","SOUTH HOBART","COH-17-65-02","APPROVED",0,NA,NA,"182461","5",NA,NA,NA,NA,NA,NA,1,-42.89771896,147.3107999,"2020/05/13 05:06:36+00",NA,NA,"WENTWORTH","ST","SOUTH HOBART",NA,-42.89771896,147.3107999,1,0,0
